"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"1",10.82,11.09,10.5,10.75,5227000,10.75
"2",10.75,11.86,10.63,11.57,7454500,11.57
"3",11.76,11.77,10.61,10.91,5807900,10.91
"4",11.27,11.84,11.06,11.45,4705200,11.45
"5",11.52,12.17,11.32,11.86,5518200,11.86
"6",12.76,12.93,11.25,11.49,6244900,11.49
"7",11.5,11.66,10.83,11.1,3826000,11.1
"8",11.5,11.95,11.21,11.75,4882600,11.75
"9",11.74,11.87,10.97,11.13,4353300,11.13
"10",11.36,11.55,11,11.01,3535900,11.01
"11",11.16,12.66,10.72,12.06,9774800,12.06
"12",11.65,11.92,11.23,11.63,6678200,11.63
"13",11.8,12.04,11.56,11.57,3169200,11.57
"14",11.6,12.79,11.45,12.46,11787600,12.46
"15",12.55,13.46,12.54,12.71,8395400,12.71
"16",12.9,14.12,12.67,13.9,9599100,13.9
"17",14.23,14.26,13.3,13.67,7183200,13.67
"18",13.6,15.25,13.42,14.75,8860100,14.75
"19",15.29,16.74,14.88,16.08,12504200,16.08
"20",18.17,19.42,16.559999,16.559999,31983500,16.559999
"21",17.110001,17.4,15.76,15.8,12653900,15.8
"22",15.7,16.68,15.38,16.58,7883400,16.58
"23",16.48,16.639999,15.87,16.120001,6295000,16.120001
"24",16.299999,17.290001,16.26,16.9,8972700,16.9
"25",17,17.5,16.219999,16.35,7386300,16.35
"26",16.370001,17.209999,15.93,16.940001,16120200,16.940001
"27",13.92,14.73,13.23,13.66,24357900,13.66
"28",13.12,14.41,13.05,14.12,7558900,14.12
"29",13.91,14,13.02,13.31,7496900,13.31
"30",13.34,13.43,12.14,12.72,10007100,12.72
"31",12.78,14.02,12.48,13.85,8189800,13.85
"32",13.96,14.31,13.58,13.85,5865100,13.85
"33",13.96,14.98,13.59,14.83,8194900,14.83
"34",15.78,16.299999,15.18,15.63,16618800,15.63
"35",15.81,16.35,15.28,15.53,9876100,15.53
"36",16.219999,20.040001,16.15,19.459999,30652700,19.459999
"37",20.17,22.35,19.129999,20.57,25830300,20.57
"38",21.01,21.48,19.950001,20.15,6262200,20.15
"39",21.309999,21.969999,20.35,20.99,8965900,20.99
"40",20.82,21.07,18.559999,19.379999,9241400,19.379999
"41",19.379999,20,18.85,19.26,5934400,19.26
"42",19.25,19.799999,18.799999,18.84,6922700,18.84
"43",19,19.1,17.15,17.25,10022500,17.25
"44",17.35,18.08,17.23,17.370001,4961500,17.370001
"45",17.34,18.98,17.33,18.360001,6056200,18.360001
"46",18.469999,19.450001,18.02,18.08,6129300,18.08
"47",18.18,18.299999,17.08,17.690001,6482000,17.690001
"48",19.41,20.65,19.01,19.940001,14908000,19.940001
"49",19.959999,20.4,19.32,19.950001,7060700,19.950001
"50",20.42,38.650002,20.030001,31.4,144501700,31.4
"51",38.09,43.060001,33.049999,39.91,93717400,39.91
"52",38.490002,40.75,34.009998,35.5,46866400,35.5
"53",41.549999,45.52,36.639999,39.360001,74721900,39.360001
"54",37.369999,41.189999,36.060001,39.119999,33471800,39.119999
"55",39.23,44.75,37,43.029999,56216900,43.029999
"56",42.59,76.760002,42.32,65.010002,197157900,65.010002
"57",96.730003,159.179993,61.130001,76.790001,177874000,76.790001
"58",88.559998,150,80.199997,147.979996,178588000,147.979996
"59",354.829987,380,249,347.51001,93396700,347.51001
"60",265,483,112.25,193.600006,58815800,193.600006
"61",379.709991,413.980011,250,325,50566100,325
"62",316.559998,322,212,225,37382200,225
"63",140.759995,158,74.220001,90,78183100,90
